Position,Coverage
1,1893.00
2,1892.00
3,1893.00
4,1893.00
5,1893.00
6,1892.00
7,1891.00
8,1891.00
9,1891.00
10,1890.00
11,1890.00
12,1890.00
13,1891.00
14,1891.00
15,1891.00
16,1891.00
17,1891.00
18,1891.00
19,1891.00
20,1890.00
21,1890.00
22,1889.00
23,1889.00
24,1890.00
25,1890.00
26,1890.00
27,1890.00
28,1890.00
29,1891.00
30,1891.00
31,1891.00
32,1891.00
33,1892.00
34,1891.00
35,1891.00
36,1891.00
37,1891.00
38,1891.00
39,1892.00
40,1893.00
41,1893.00
42,1892.00
43,1892.00
44,1892.00
45,1892.00
46,1893.00
47,1893.00
48,1893.00
49,1893.00
50,1893.00
51,1893.00
52,1893.00
53,1893.00
54,1893.00
55,1894.00
56,1893.00
57,1893.00
58,1892.00
59,1892.00
60,1892.00
61,1892.00
62,1893.00
63,1892.00
64,1892.00
65,1892.00
66,1892.00
67,1893.00
68,1893.00
69,1893.00
70,1893.00
71,1893.00
72,1893.00
73,1893.00
74,1893.00
75,1893.00
76,1894.00
77,1894.00
78,1894.00
79,1895.00
80,1896.00
81,1896.00
82,1895.00
83,1896.00
84,1896.00
85,1896.00
86,1896.00
87,1897.00
88,1896.00
89,1896.00
90,1896.00
91,1895.00
92,1895.00
93,1893.00
94,1893.00
95,1893.00
96,1892.00
97,1890.00
98,1891.00
99,1890.00
100,1890.00
101,1890.00
102,1890.00
103,1890.00
104,1890.00
105,1889.00
106,1890.00
107,1890.00
108,1891.00
109,1891.00
110,1892.00
111,1892.00
112,1892.00
113,1892.00
114,1891.00
115,1891.00
116,1891.00
117,1891.00
118,1891.00
119,1892.00
120,1892.00
121,1893.00
122,1894.00
123,1894.00
124,1894.00
125,1894.00
126,1892.00
127,1892.00
128,1892.00
129,1892.00
130,1894.00
131,1895.00
132,1894.00
133,1895.00
134,1895.00
135,1896.00
136,1896.00
137,1896.00
138,1896.00
139,1896.00
140,1897.00
141,1897.00
142,1897.00
143,1897.00
144,1897.00
145,1897.00
146,1897.00
147,1897.00
148,1897.00
149,1897.00
150,1898.00
151,1898.00
152,1897.00
153,1897.00
154,1896.00
155,1896.00
156,1896.00
157,1896.00
158,1896.00
159,1896.00
160,1896.00
161,1896.00
162,1896.00
163,1896.00
164,1896.00
165,1896.00
166,1895.00
167,1895.00
168,1895.00
169,1894.00
170,1894.00
171,1893.00
172,1893.00
173,1894.00
174,1894.00
175,1894.00
176,1894.00
177,1893.00
178,1893.00
179,1893.00
180,1893.00
181,1893.00
182,1893.00
183,1893.00
184,1892.00
185,1892.00
186,1892.00
187,1892.00
188,1892.00
189,1892.00
190,1892.00
191,1890.00
192,1890.00
193,1890.00
194,1890.00
195,1890.00
196,1890.00
197,1890.00
198,1890.00
199,1890.00
200,1890.00
201,1890.00
202,1891.00
203,1891.00
204,1891.00
205,1891.00
206,1891.00
207,1892.00
208,1892.00
209,1892.00
210,1892.00
211,1893.00
212,1893.00
213,1892.00
214,1892.00
215,1892.00
216,1891.00
217,1890.00
218,1890.00
219,1890.00
220,1890.00
221,1891.00
222,1891.00
223,1891.00
224,1891.00
225,1891.00
226,1891.00
227,1891.00
228,1890.00
